Unnamed: 0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet
105,Grenoble,38325,Proveysieux,11.9,7.9,27350.0,2.7,25.34,7.3,34.7,0,0,170,14.15,21.41
106,Grenoble,38328,Quaix-en-Chartreuse,11.4,6.3,31990.0,4.7,50.17,7.2,8.8,0,0,170,11.42,21.85
107,Grenoble,38364,Saint-Barthélemy-de-Séchilienne,11.4,12.8,26140.0,3.5,35.21,10.9,18.0,0,0,170,27.5,36.29
108,Grenoble,38382,Saint-Égrève,12.2,5.4,25910.0,5.9,1559.17,10.9,64.8,0,0,170,10.1,15.39
109,Grenoble,38388,Saint-Georges-de-Commiers,11.4,5.1,27370.0,5.0,181.23,8.8,6.2,0,0,170,20.33,22.83
110,Grenoble,38421,Saint-Martin-d'Hères,12.7,5.8,21160.0,23.5,4134.84,20.7,70.0,0,0,170,4.32,10.31
111,Grenoble,38423,Saint-Martin-le-Vinoux,13,8.5,24020.0,8.6,576.73,15.4,68.4,0,0,170,5.55,12.26
112,Grenoble,38436,Saint-Paul-de-Varces,12.5,1.3,30530.0,4.7,112.89,6.0,7.8,0,0,170,16.45,19.47
113,Grenoble,38445,Saint-Pierre-de-Mésage,11.4,8.9,26760.0,4.7,113.0,6.1,10.8,0,0,170,21.23,27.69
114,Grenoble,38471,Le Sappey-en-Chartreuse,13.4,9.9,31410.0,4.7,75.3,12.3,13.9,0,0,170,15.88,26.36
115,Grenoble,38472,Sarcenas,11.4,1.8,30770.0,4.5,31.03,6.2,0.0,0,0,170,185.38,138.2
116,Grenoble,38474,Sassenage,13.1,5.6,25750.0,7.7,876.69,8.9,51.3,0,0,170,7.31,14.11
117,Grenoble,38478,Séchilienne,10.6,12.9,24000.0,4.9,47.63,6.5,15.9,0,0,170,25.47,33.92
118,Grenoble,38485,Seyssinet-Pariset,13.1,6.7,24820.0,7.7,1098.41,11.3,49.5,0,0,170,15.99,24.51
