Unnamed..0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet,dist_metropole2,temps_transit
66,Dijon,21278,Fontaine-lès-Dijon,13,6.4,28750.0,6.5,1966.0,9.7,34.5,0,0,100,3.689,8.61666666666667,8.395,43.233333333333334
67,Dijon,21315,Hauteville-lès-Dijon,11.4,4.0,31780.0,6.4,135.22,7.3,22.6,0,0,100,7.519,15.2833333333333,9.056,86.61666666666666
68,Dijon,21355,Longvic,12.4,5.0,21840.0,8.4,818.49,14.3,84.5,0,0,100,6.394,16.9833333333333,8.134,32.65
69,Dijon,21003,Ahuy,12.6,3.8,26760.0,7.0,247.5,16.3,32.9,0,0,100,5.187,10.25,6.759,31.9
70,Dijon,21390,Marsannay-la-Côte,12.1,5.6,23980.0,6.9,414.77,8.6,48.2,0,0,100,16.789,20.1166666666667,9.724,43.06666666666667
71,Dijon,21452,Neuilly-Crimolois,11.4,4.6,23690.0,6.7,383.66,8.4,43.3,0,0,100,10.499,13.7166666666667,12.977,49.81666666666667
72,Dijon,21473,Ouges,10.1,4.4,25500.0,34.5,132.56,9.0,19.7,0,0,100,15.163,17.45,12.419,45.733333333333334
73,Dijon,21481,Perrigny-lès-Dijon,12.9,4.0,25290.0,6.9,335.67,14.9,40.3,0,0,100,15.188,16.25,9.301,38.233333333333334
74,Dijon,21485,Plombières-lès-Dijon,11,8.8,23480.0,7.6,155.43,9.2,117.1,0,0,100,10.302,15.5666666666667,7.065,39.68333333333333
75,Dijon,21515,Quetigny,13.3,3.5,22670.0,9.4,1081.59,9.6,69.9,0,0,100,7.692,15.9,7.564,35.6
76,Dijon,21540,Saint-Apollinaire,13.6,3.8,25330.0,7.8,734.31,14.1,46.9,0,0,100,3.327,8.78333333333333,6.03,36.416666666666664
77,Dijon,21605,Sennecey-lès-Dijon,11.4,2.2,25280.0,7.5,601.47,4.3,40.1,0,0,100,9.44,11.9166666666667,9.162,37.8
78,Dijon,21617,Talant,12.6,5.7,23800.0,7.0,2427.35,10.8,116.3,0,0,100,4.424,10.8,5.726,29.316666666666666
79,Dijon,21370,Magny-sur-Tille,11.4,2.9,26450.0,8.0,83.3,3.9,26.7,0,0,100,18.575,20.35,16.354,57.28333333333333
80,Dijon,21231,Dijon,12.3,7.4,22720.0,18.7,3944.21,22.9,81.8,1,0,100,0.0,0.0,,
81,Grenoble,38057,Bresson,12.5,4.8,34920.0,6.1,238.21,9.7,26.8,0,0,170,8.25,18.5333333333333,6.86,42.8
82,Grenoble,38068,Champagnier,13.3,4.5,31460.0,4.6,213.03,11.5,11.7,0,0,170,10.329,22.8666666666667,12.115,51.483333333333334
83,Grenoble,38111,Claix,12.8,3.9,29740.0,5.6,326.1,7.3,33.3,0,0,170,10.881,17.2666666666667,10.914,45.7
84,Grenoble,38059,Brié-et-Angonnes,14.9,4.9,32620.0,5.6,259.9,9.6,10.0,0,0,170,10.912,25.2833333333333,23.35,74.45
85,Grenoble,38150,Domène,12.7,5.4,24200.0,7.8,1267.92,13.2,46.6,0,0,170,12.197,16.3166666666667,10.553,38.18333333333333
86,Grenoble,38151,Échirolles,13,6.1,19930.0,9.4,4664.43,13.5,156.9,0,0,170,6.298,16.7666666666667,8.655,33.96666666666667
87,Grenoble,38158,Eybens,13.3,6.1,25120.0,7.8,2216.44,8.3,81.1,0,0,170,5.479,17.5,5.338,21.833333333333332
88,Grenoble,38126,Corenc,13.8,6.8,37560.0,5.5,636.77,9.5,19.0,0,0,170,6.102,17.3166666666667,7.016,51.95
89,Grenoble,38170,Fontanil-Cornillon,13.5,6.7,27990.0,5.8,619.09,15.1,26.7,0,0,170,9.796,14.1,8.814,30.166666666666668
90,Grenoble,38179,Gières,15.6,6.3,26010.0,16.0,1037.83,23.2,37.7,0,0,170,9.729,14.8166666666667,6.328,30.983333333333334
91,Grenoble,38185,Grenoble,13,12.7,22140.0,18.3,8700.39,22.1,98.3,1,0,170,0.0,0.0,,
92,Grenoble,38187,Le Gua,10.2,16.8,26220.0,6.0,64.49,9.5,13.7,0,0,170,767.995,38.0,,
93,Grenoble,38188,Herbeys,14.2,8.0,32700.0,4.0,178.96,6.8,13.1,0,0,170,10.483,24.7666666666667,10.538,41.766666666666666
94,Grenoble,38200,Jarrie,11.9,7.1,28430.0,5.2,293.46,8.1,23.3,0,0,170,11.218,24.9666666666667,15.153,58.9
95,Grenoble,38071,Champ-sur-Drac,11.4,5.1,24940.0,6.3,375.17,13.1,19.9,0,0,170,17.075,23.75,16.19,52.88333333333333
96,Grenoble,38235,Miribel-Lanchâtre,10.2,1.6,27470.0,4.9,46.39,9.9,0.0,0,0,170,31.591,40.2166666666667,31.442,87.85
97,Grenoble,38252,Montchaboud,12.5,3.0,29550.0,5.0,171.0,3.3,0.0,0,0,170,20.879,27.3833333333333,18.523,80.36666666666666
98,Grenoble,38258,Mont-Saint-Martin,11.9,4.7,,2.3,16.6,11.6,0.0,0,0,170,635.103,363.483333333333,968.518,494.28333333333336
99,Grenoble,38271,Murianette,14.8,3.3,28880.0,7.4,142.13,7.7,17.4,0,0,170,11.912,18.8,8.48,35.11666666666667
100,Grenoble,38277,Notre-Dame-de-Commiers,9.6,6.9,26970.0,5.4,111.46,5.0,14.9,0,0,170,24.113,31.3833333333333,26.127,61.333333333333336
101,Grenoble,38169,Fontaine,12,8.1,20790.0,8.9,3416.57,13.1,100.5,0,0,170,4.09,14.65,3.82,19.4
102,Grenoble,38281,Noyarey,11.3,6.5,26880.0,4.9,134.73,7.7,19.1,0,0,170,11.256,14.5333333333333,11.479,45.25
103,Grenoble,38309,Poisat,15.7,5.3,28010.0,6.2,816.54,8.7,59.8,0,0,170,4.654,14.3833333333333,5.587,26.233333333333334
104,Grenoble,38317,Le Pont-de-Claix,12.3,8.1,20220.0,9.4,1929.46,13.5,110.9,0,0,170,10.634,16.6333333333333,8.078,30.966666666666665
105,Grenoble,38325,Proveysieux,11.9,7.9,27350.0,2.7,25.34,7.3,34.7,0,0,170,12.179,22.1666666666667,11.261,48.833333333333336
106,Grenoble,38328,Quaix-en-Chartreuse,11.4,6.3,31990.0,4.7,50.17,7.2,8.8,0,0,170,9.892,18.2166666666667,12.687,53.833333333333336
107,Grenoble,38364,Saint-Barthélemy-de-Séchilienne,11.4,12.8,26140.0,3.5,35.21,10.9,18.0,0,0,170,27.976,33.8666666666667,26.89,86.05
108,Grenoble,38382,Saint-Égrève,12.2,5.4,25910.0,5.9,1559.17,10.9,64.8,0,0,170,8.588,16.0666666666667,6.859,30.833333333333332
109,Grenoble,38388,Saint-Georges-de-Commiers,11.4,5.1,27370.0,5.0,181.23,8.8,6.2,0,0,170,21.136,26.7666666666667,21.013,52.61666666666667
110,Grenoble,38421,Saint-Martin-d'Hères,12.7,5.8,21160.0,23.5,4134.84,20.7,70.0,0,0,170,6.196,17.5166666666667,5.309,30.633333333333333
111,Grenoble,38423,Saint-Martin-le-Vinoux,13,8.5,24020.0,8.6,576.73,15.4,68.4,0,0,170,2.271,7.95,2.66,23.533333333333335
112,Grenoble,38436,Saint-Paul-de-Varces,12.5,1.3,30530.0,4.7,112.89,6.0,7.8,0,0,170,17.372,21.7166666666667,18.257,59.61666666666667
113,Grenoble,38445,Saint-Pierre-de-Mésage,11.4,8.9,26760.0,4.7,113.0,6.1,10.8,0,0,170,20.917,26.2833333333333,26.798,85.55
114,Grenoble,38471,Le Sappey-en-Chartreuse,13.4,9.9,31410.0,4.7,75.3,12.3,13.9,0,0,170,14.406,23.7833333333333,13.257,44.18333333333333
115,Grenoble,38472,Sarcenas,11.4,1.8,30770.0,4.5,31.03,6.2,0.0,0,0,170,14.717,25.15,16.48,53.06666666666667
116,Grenoble,38474,Sassenage,13.1,5.6,25750.0,7.7,876.69,8.9,51.3,0,0,170,12.418,15.7666666666667,6.42,32.71666666666667
117,Grenoble,38478,Séchilienne,10.6,12.9,24000.0,4.9,47.63,6.5,15.9,0,0,170,26.074,30.5666666666667,,
118,Grenoble,38485,Seyssinet-Pariset,13.1,6.7,24820.0,7.7,1098.41,11.3,49.5,0,0,170,3.189,11.9333333333333,3.97,26.05
119,Grenoble,38486,Seyssins,14.1,4.0,29300.0,5.7,999.62,9.5,37.6,0,0,170,7.358,15.9333333333333,6.476,36.266666666666666
120,Grenoble,38516,La Tronche,14.1,11.6,30000.0,16.4,1010.94,17.8,48.4,0,0,170,2.909,9.78333333333333,2.927,22.75
121,Grenoble,38524,Varces-Allières-et-Risset,15.1,6.1,26780.0,16.9,396.51,11.1,26.6,0,0,170,13.472,20.4833333333333,13.397,35.25
122,Grenoble,38528,Vaulnaveys-le-Bas,12.5,5.1,28710.0,5.1,114.29,12.7,17.9,0,0,170,23.176,29.2,19.059,69.11666666666666
123,Grenoble,38529,Vaulnaveys-le-Haut,13.2,10.1,29360.0,5.0,201.01,11.3,10.4,0,0,170,18.665,26.25,17.098,63.983333333333334
124,Grenoble,38533,Venon,14.2,5.3,32850.0,4.1,186.28,7.6,10.7,0,0,170,13.553,21.15,9.085,71.75
