"","ville_principale","Code","Libellé","loyer_m2","logements_vacants","med_revenu","jeunes","densite_pop","nouveaux_menages","beneficiaires_rsa","metropole","si_paris","temps_tgv_paris"
"123","Grenoble","38529","Vaulnaveys-le-Haut","13.2","10.1",29360,"5","201.01","11.3","10.4","0","0",170
"124","Grenoble","38533","Venon","14.2","5.3",32850,"4.1","186.28","7.6","10.7","0","0",170
"125","Grenoble","38540","Veurey-Voroize","11.9","7.4",27510,"7.9","114.84","8.9","45.9","0","0",170
"126","Grenoble","38545","Vif","13.9","5.5",26090,"7.1","303.32","10.3","29","0","0",170
"127","Grenoble","38562","Vizille","11","12.1",22530,"8.1","694.57","12.4","62.6","0","0",170
"128","Grenoble","38229","Meylan","14.6","5.8",30440,"7.1","1510","11.4","38.6","0","0",170
"129","Grenoble","38279","Notre-Dame-de-Mésage","11.4","4.3",26290,"5.9","245.78","5","0","0","0",170
"130","Lille","59009","Villeneuve-d'Ascq","14.2","4",22000,"15.6","2256.98","15.6","117.6","0","0",60
"131","Lille","59013","Anstaing","13.5","3.6",27530,"7.5","696.09","7","39.1","0","0",60
"132","Lille","59005","Allennes-les-Marais","12.1","3.7",26280,"8.9","636.96","8.8","16.7","0","0",60
"133","Lille","59025","Aubers","13.1","4.5",29920,"5.1","170.5","9.5","24.6","0","0",60
"134","Lille","59011","Annœullin","11.8","3.4",23710,"8.5","1197.78","9.4","54.8","0","0",60
"135","Lille","59051","La Bassée","12.1","7.5",20670,"8.5","1892","14.3","113.1","0","0",60
"136","Lille","59052","Bauvin","10.9","4.9",22360,"6.6","1281.79","7.6","68.2","0","0",60
"137","Lille","59056","Beaucamps-Ligny","13.1","4.1",30650,"7.1","168.8","8.5","37.9","0","0",60
"138","Lille","59044","Baisieux","14","3.9",26930,"8.8","595.06","14.2","27","0","0",60
"139","Lille","59090","Bondues","14.2","3.4",34880,"6.5","741.45","7.7","35.9","0","0",60
"140","Lille","59098","Bousbecque","12.3","3.3",24840,"7.5","757.34","7.5","42.5","0","0",60
"141","Lille","59106","Bouvines","13.5","6.1",29690,"4.9","279.63","10","10.8","0","0",60
"142","Lille","59128","Capinghem","13.8","5.7",26300,"12","1302.11","31.3","42.6","0","0",60
"143","Lille","59133","Carnin","12.1","3.9",27100,"5.2","467.83","8.4","7.4","0","0",60
"144","Lille","59143","La Chapelle-d'Armentières","12.4","4.2",23360,"7.8","846.5","14.5","60.3","0","0",60
"145","Lille","59146","Chéreng","14","3.4",31250,"7","714.52","7.3","13.3","0","0",60
"146","Lille","59152","Comines","12.7","5",22310,"8.1","791.94","8.1","77.3","0","0",60
"147","Lille","59163","Croix","13.9","8.5",23360,"9.4","4722.27","12.9","106.5","0","0",60
"148","Lille","59173","Deûlémont","12.9","3.8",26320,"7.8","183.74","7.6","20.7","0","0",60
"149","Lille","59193","Emmerin","13","6.9",27020,"5.9","623.06","5.7","31.4","0","0",60
"150","Lille","59195","Englos","12.9","1.6",30440,"6","438.57","8.4","12.6","0","0",60
"151","Lille","59196","Ennetières-en-Weppes","13.9","4.6",31230,"6.3","124.33","7.6","18.8","0","0",60
"152","Lille","59201","Erquinghem-le-Sec","13.1","1.8",30070,"7.6","334.44","9.6","12.7","0","0",60
"153","Lille","59202","Erquinghem-Lys","13.1","3.7",23060,"7.9","595.11","7.8","42.9","0","0",60
"154","Lille","59208","Escobecques","13.9","2.7",37210,"3.3","159.47","2.4","0","0","0",60
"155","Lille","59220","Faches-Thumesnil","13","4.5",22280,"7.7","3936.96","9.9","211","0","0",60
"156","Lille","59247","Forest-sur-Marque","13.8","2.4",28160,"7.1","1659","10.2","25.3","0","0",60
"157","Lille","59250","Fournes-en-Weppes","13.4","4.3",29740,"4.3","267.07","8.3","11.4","0","0",60
"158","Lille","59252","Frelinghien","12.5","3.6",25080,"7","228.41","8.4","30.7","0","0",60
"159","Lille","59256","Fretin","12.9","6.6",26580,"6.7","244.47","7.6","36.4","0","0",60
"160","Lille","59257","Fromelles","13.1","5.7",29030,"5.6","126.59","11.2","7.3","0","0",60
"161","Lille","59275","Gruson","14","3.9",35560,"8.5","399.03","7.1","6.6","0","0",60
"162","Lille","59278","Hallennes-lez-Haubourdin","13.5","3.4",24380,"7.9","1097.21","11.2","35.9","0","0",60
"163","Lille","59279","Halluin","12.4","4.6",21590,"8.9","1653.1","11","99.8","0","0",60
"164","Lille","59281","Hantay","12.6","2.8",24950,"6.2","599.52","7","47.4","0","0",60
"165","Lille","59286","Haubourdin","13.1","5.2",21490,"8.5","2784.34","11.8","105.9","0","0",60
"166","Lille","59299","Hem","13.7","3.5",23140,"7.9","1929.18","9","132.8","0","0",60
"167","Lille","59303","Herlies","12.3","2.5",27360,"6.8","327.18","8.2","27.9","0","0",60
"168","Lille","59316","Houplin-Ancoisne","13","5.3",25620,"6.3","503.85","5.3","31.2","0","0",60
"169","Lille","59317","Houplines","11.4","6.9",22140,"7.6","698.85","11","82","0","0",60
"170","Lille","59320","Illies","12.6","4.1",24770,"6.7","210.63","13.2","37.7","0","0",60
"171","Lille","59328","Lambersart","14","5.3",28160,"8.4","4374.35","12.9","66.7","0","0",60
"172","Lille","59017","Armentières","12.1","9",18920,"10.1","4060.48","14.4","186.5","0","0",60
"173","Lille","59339","Leers","13.2","4.5",24390,"7","1775.56","8.3","46.7","0","0",60
"174","Lille","59343","Lesquin","13.6","5.1",25570,"8.1","1100.12","10.8","46.9","0","0",60
"175","Lille","59346","Lezennes","13.7","6.5",25880,"7.5","1437.62","8.8","33.3","0","0",60
"176","Lille","59350","Lille","15","8.6",20520,"22.7","6802.01","25","130.8","1","0",60
"177","Lille","59352","Linselles","13.1","3.9",25380,"7.2","700.17","8.5","39.4","0","0",60
"178","Lille","59088","Bois-Grenier","13.1","7.6",29050,"6.9","249.03","10.2","23","0","0",60
"179","Lille","59360","Loos","13.5","7.5",19610,"14.7","3287.57","16.2","116.7","0","0",60
"180","Lille","59367","Lys-lez-Lannoy","13.1","4.9",22400,"8.1","4179.7","10.9","103.8","0","0",60
"181","Lille","59368","La Madeleine","14.7","8.7",25270,"8.9","8031.43","15.8","73.8","0","0",60
"182","Lille","59371","Le Maisnil","13.9","4.2",34170,"6.1","179.43","8.1","0","0","0",60
"183","Lille","59378","Marcq-en-Barœul","14.8","6.2",29490,"7.2","2811.14","12.2","56.9","0","0",60
"184","Lille","59386","Marquette-lez-Lille","13","3.6",24500,"7.8","2288.37","10","79.1","0","0",60
"185","Lille","59388","Marquillies","12.3","5.1",26720,"5.6","287.25","7","31.3","0","0",60
"186","Lille","59410","Mons-en-Barœul","13.4","6.4",19570,"10.7","7402.41","10.3","139.1","0","0",60
"187","Lille","59421","Mouvaux","14.3","5.6",29430,"6.5","3136.43","8.1","48.5","0","0",60
"188","Lille","59426","Neuville-en-Ferrain","13","3.1",25120,"7.3","1638.71","6.6","33.3","0","0",60
"189","Lille","59437","Noyelles-lès-Seclin","13","4.6",28500,"7.9","352.08","6.2","30.9","0","0",60
"190","Lille","59457","Pérenchies","13.2","4",23810,"8.3","2839.67","11.4","56.7","0","0",60
"191","Lille","59458","Péronne-en-Mélantois","13.3","7.9",30020,"7.5","912.73","15","0","0","0",60
"192","Lille","59470","Prémesques","13.1","2.8",28490,"7.3","403.92","8.7","19","0","0",60
"193","Lille","59477","Provin","11.4","6",22130,"8.1","1314.41","11.2","60.2","0","0",60
"194","Lille","59482","Quesnoy-sur-Deûle","12.5","4.5",25610,"7.9","480.56","9.6","81.5","0","0",60
"195","Lille","59487","Radinghem-en-Weppes","13.9","4.6",31950,"5.7","204.85","6.4","17.9","0","0",60
"196","Lille","59507","Ronchin","13.4","4.4",22130,"9.4","3599.44","11.7","133.9","0","0",60
"197","Lille","59508","Roncq","13.1","3.3",25280,"8","1300.38","10","50.9","0","0",60
"198","Lille","59512","Roubaix","12.5","9.9",14580,"11.7","7491.82","14.1","380.9","0","0",60
"199","Lille","59522","Sailly-lez-Lannoy","13.3","3.2",29860,"7","442.95","18","29","0","0",60
